id,name,year,headSize,strungWeight,balance,balancePts,swingweight,stiffness,beamWidth,pattern,tensionRange,powerLevel,strokeStyle,swingSpeed,frameProfile,identity,notes
babolat-aeropro-drive-gt-plus,Babolat AeroPro Drive GT Plus,,100,316,33.4,4 pts HL,340,70,"23,26,23",16x19,"48,57",Medium-High,Medium,Medium,"23/26/23mm beam, 16x19 pattern",Control,TWU: twistweight=15.1 vibration=155Hz power=41% sweetzone=16sqin length=27.25in
babolat-aeropro-drive-gt-plus-2013,Babolat AeroPro Drive GT Plus / 2013,2013,100,321,33.5,4 pts HL,330,72,"23,26,23",16x19,"48,57",Medium-High,Medium,Medium,"23/26/23mm beam, 16x19 pattern",Control,TWU: twistweight=14.2 vibration=160Hz power=42% sweetzone=17sqin length=27.5in
babolat-aeropro-drive-plus,Babolat AeroPro Drive Plus,,100,326,32.5,8 pts HL,327,67,"23,26,23",16x19,"48,57",Medium-High,Medium,Medium,"23/26/23mm beam, 16x19 pattern",Control,TWU: twistweight=12.2 vibration=152Hz power=41% sweetzone=16sqin length=27.5in
babolat-aeropro-lite-gt,Babolat AeroPro Lite GT,,100,277,35.6,4 pts HH,309,72,"21,23,22",16x19,"48,57",Medium,Full,Fast,"21/23/22mm beam, 16x19 pattern",Control,TWU: twistweight=13.6 vibration=170Hz power=39% sweetzone=13sqin
babolat-aeropro-lite-2013,Babolat AeroPro Lite/2013,2013,100,279,35,2 pts HH,299,71,"21,23,22",16x19,"48,57",Medium,Full,Fast,"21/23/22mm beam, 16x19 pattern",Control,TWU: twistweight=14.1 vibration=170Hz power=39% sweetzone=14sqin
babolat-aeropro-team-gt,Babolat AeroPro Team GT,,100,290,33.5,2 pts HL,299,71,"21,23,22",16x19,"48,57",Medium,Full,Fast,"21/23/22mm beam, 16x19 pattern",Control,TWU: twistweight=12 vibration=167Hz power=37% sweetzone=12sqin
babolat-aeropro-team-gt-2013,Babolat AeroPro Team GT/2013,2013,100,288,34,1 pts HL,288,72,"21,23,22",16x19,"48,57",Medium,Full,Fast,"21/23/22mm beam, 16x19 pattern",Control,TWU: twistweight=13.9 vibration=174Hz power=37% sweetzone=12sqin
babolat-drive-z-110,Babolat Drive Z 110,,110,276,36.8,6 pts HH,313,66,"26,29,26",16x19,"45,55",High,Short,Slow,"26/29/26mm beam, 16x19 pattern",Standard,TWU: twistweight=14.4 vibration=150Hz power=40% sweetzone=10sqin length=27.5in
babolat-drive-z-110-2009,Babolat Drive Z 110 2009,2009,110,276,35.5,2 pts HH,305,62,"26,29,26",16x19,"45,55",High,Short,Slow,"26/29/26mm beam, 16x19 pattern",Standard,TWU: twistweight=14.7 vibration=157Hz power=37% sweetzone=12sqin length=27.5in
babolat-drive-z-118,Babolat Drive Z 118,,118,280,36.5,5 pts HH,310,68,"26,29,26",16x19,"45,55",High,Short,Slow,"26/29/26mm beam, 16x19 pattern",Standard,TWU: twistweight=16 vibration=155Hz power=39% sweetzone=16sqin length=27.5in
babolat-drive-z-118-2009,Babolat Drive Z 118 2009,2009,118,277,35.7,2 pts HH,307,62,"26,29,26",16x19,"45,55",High,Short,Slow,"26/29/26mm beam, 16x19 pattern",Standard,TWU: twistweight=16 vibration=164Hz power=38% sweetzone=13sqin length=27.5in
babolat-drive-z-lite,Babolat Drive Z Lite,,100,269,35.2,3 pts HH,300,64,"23,26,23",16x19,"50,60",Medium,Medium-Full,Medium-Fast,"23/26/23mm beam, 16x19 pattern",Lightweight,TWU: twistweight=12.1 vibration=145Hz power=37% sweetzone=11sqin
babolat-play-pure-drive,Babolat Play Pure Drive,,100,318,33,4 pts HL,315,74,"23,26,23",16x19,"50,59",Medium-High,Medium,Medium-Fast,"23/26/23mm beam, 16x19 pattern",Standard,TWU: twistweight=15.2 vibration=167Hz power=40% sweetzone=16sqin
babolat-pure-aero,Babolat Pure Aero,,100,322,33.5,2 pts HL,328,70,"21,23,22",16x19,"48,57",Medium,Full,Fast,"21/23/22mm beam, 16x19 pattern",Standard,TWU: twistweight=15 vibration=148Hz power=42% sweetzone=17sqin
babolat-pure-aero-2019,Babolat Pure Aero (2019),2019,100,318,33,4 pts HL,324,67,"21,23,22",16x19,"48,57",Medium,Full,Fast,"21/23/22mm beam, 16x19 pattern",Standard,TWU: twistweight=15.4 vibration=143Hz power=41% sweetzone=17sqin
babolat-pure-aero-2023,Babolat Pure Aero 2023,2023,100,318,33,4 pts HL,322,65,"21,23,22",16x19,"48,57",Medium,Full,Fast,"21/23/22mm beam, 16x19 pattern",Standard,TWU: twistweight=14.6 vibration=141Hz power=41% sweetzone=17sqin
babolat-pure-aero-2026,Babolat Pure Aero 2026,2026,100,318,33,4 pts HL,320,66,"21,23,22",16x19,"48,57",Medium,Full,Fast,"21/23/22mm beam, 16x19 pattern",Standard,TWU: twistweight=15.2 vibration=133Hz power=41% sweetzone=17sqin
babolat-pure-aero-98-2023,Babolat Pure Aero 98 2023,2023,98,323,32.5,6 pts HL,327,65,"21,23,22",16x20,"46,55",Low-Medium,Full,Fast,"21/23/22mm beam, 16x20 pattern",Standard,TWU: twistweight=15.4 vibration=148Hz power=42% sweetzone=17sqin
babolat-pure-aero-98-2026,Babolat Pure Aero 98 2026,2026,98,323,32.5,6 pts HL,322,66,"21,23,22",16x20,"46,55",Low-Medium,Full,Fast,"21/23/22mm beam, 16x20 pattern",Standard,TWU: twistweight=15.3 vibration=145Hz power=41% sweetzone=17sqin
babolat-pure-aero-lite,Babolat Pure Aero Lite,,100,289,34.4,Even,308,70,"21,23,22",16x19,"48,57",Medium,Full,Fast,"21/23/22mm beam, 16x19 pattern",Lightweight,TWU: twistweight=14.3 vibration=158Hz power=40% sweetzone=15sqin
babolat-pure-aero-lite-2019,Babolat Pure Aero Lite (2019),2019,100,286,34.3,Even,311,68,"21,23,22",16x19,"48,57",Medium,Full,Fast,"21/23/22mm beam, 16x19 pattern",Lightweight,TWU: twistweight=14.8 vibration=148Hz power=40% sweetzone=16sqin
babolat-pure-aero-lite-2023,Babolat Pure Aero Lite 2023,2023,100,283,34,1 pts HL,304,65,"21,23,22",16x19,"48,57",Medium,Full,Fast,"21/23/22mm beam, 16x19 pattern",Lightweight,TWU: twistweight=14.5 vibration=150Hz power=39% sweetzone=14sqin
babolat-pure-aero-lite-2026,Babolat Pure Aero Lite 2026,2026,100,283,33.5,2 pts HL,302,65,"21,23,22",16x19,"48,57",Medium,Full,Fast,"21/23/22mm beam, 16x19 pattern",Lightweight,TWU: twistweight=13.9 vibration=164Hz power=39% sweetzone=14sqin
babolat-pure-aero-plus,Babolat Pure Aero Plus,,100,321,33.4,5 pts HL,331,69,"23,26,23",16x19,"48,57",Medium-High,Medium,Medium,"23/26/23mm beam, 16x19 pattern",Lightweight,TWU: twistweight=14.4 vibration=154Hz power=42% sweetzone=17sqin length=27.5in
babolat-pure-aero-plus-2019,Babolat Pure Aero Plus (2019),2019,100,320,33,6 pts HL,330,68,"23,26,23",16x19,"48,57",Medium-High,Medium,Medium,"23/26/23mm beam, 16x19 pattern",Power,TWU: twistweight=14.3 vibration=156Hz power=42% sweetzone=17sqin length=27.5in
babolat-pure-aero-plus-2023,Babolat Pure Aero Plus 2023,2023,100,320,33,6 pts HL,334,65,"23,26,23",16x19,"48,57",Medium-High,Medium,Medium,"23/26/23mm beam, 16x19 pattern",Power,TWU: twistweight=14.7 vibration=143Hz power=42% sweetzone=17sqin length=27.5in
babolat-pure-aero-plus-2026,Babolat Pure Aero Plus 2026,2026,100,320,33,6 pts HL,330,65,"23,26,23",16x19,"48,57",Medium-High,Medium,Medium,"23/26/23mm beam, 16x19 pattern",Power,TWU: twistweight=14.5 vibration=145Hz power=42% sweetzone=17sqin length=27.5in
babolat-pure-aero-super-lite-2026,Babolat Pure Aero Super Lite 2026,2026,100,269,33.5,2 pts HL,273,64,"21,23,22",16x19,"48,57",Medium,Full,Fast,"21/23/22mm beam, 16x19 pattern",Lightweight,TWU: twistweight=12.9 vibration=157Hz power=35% sweetzone=9sqin
babolat-pure-aero-team,Babolat Pure Aero Team,,100,303,33.4,3 pts HL,309,69,"21,23,22",16x19,"48,57",Medium,Full,Fast,"21/23/22mm beam, 16x19 pattern",All-Rounder,TWU: twistweight=14.6 vibration=158Hz power=40% sweetzone=15sqin
babolat-pure-aero-team-2019,Babolat Pure Aero Team (2019),2019,100,301,33,4 pts HL,307,69,"21,23,22",16x19,"48,57",Medium,Full,Fast,"21/23/22mm beam, 16x19 pattern",All-Rounder,TWU: twistweight=14.6 vibration=162Hz power=40% sweetzone=15sqin
babolat-pure-aero-team-2023,Babolat Pure Aero Team 2023,2023,100,301,32.6,5 pts HL,302,67,"21,23,22",16x19,"48,57",Medium,Full,Fast,"21/23/22mm beam, 16x19 pattern",All-Rounder,TWU: twistweight=14.3 vibration=158Hz power=39% sweetzone=14sqin
babolat-pure-aero-team-2026,Babolat Pure Aero Team 2026,2026,100,301,33,4 pts HL,306,66,"21,23,22",16x19,"48,57",Medium,Full,Fast,"21/23/22mm beam, 16x19 pattern",All-Rounder,TWU: twistweight=15.1 vibration=145Hz power=39% sweetzone=15sqin
babolat-pure-aero-tour,Babolat Pure Aero Tour,,100,341,32.6,5 pts HL,332,68,"21,23,22",16x19,"48,57",Medium,Full,Fast,"21/23/22mm beam, 16x19 pattern",Control,TWU: twistweight=15.6 vibration=147Hz power=42% sweetzone=18sqin
babolat-pure-aero-tour-2019,Babolat Pure Aero Tour (2019),2019,100,335,32.3,6 pts HL,327,68,"21,23,22",16x19,"48,57",Medium,Full,Fast,"21/23/22mm beam, 16x19 pattern",Control,TWU: twistweight=15.1 vibration=155Hz power=42% sweetzone=17sqin
babolat-pure-aero-vs,Babolat Pure Aero VS,,98,320,32.4,6 pts HL,321,67,"21,23,22",16x20,"46,55",Low-Medium,Full,Fast,"21/23/22mm beam, 16x20 pattern",Lightweight,TWU: twistweight=14.6 vibration=154Hz power=41% sweetzone=16sqin
babolat-pure-aero-vs-stars-and-stripes,Babolat Pure Aero VS Stars and Stripes,,98,314,33.3,3 pts HL,317,67,"21,23,22",16x20,"46,55",Low-Medium,Full,Fast,"21/23/22mm beam, 16x20 pattern",Lightweight,TWU: twistweight=14 vibration=151Hz power=40% sweetzone=16sqin
babolat-pure-aero-vs-tour,Babolat Pure Aero VS Tour,,98,348,32.3,6 pts HL,332,70,"21,23,22",16x20,"46,55",Low-Medium,Full,Fast,"21/23/22mm beam, 16x20 pattern",Control,TWU: twistweight=14.8 vibration=149Hz power=42% sweetzone=17sqin
babolat-pure-control,Babolat Pure Control,,98,308,33.5,2 pts HL,310,63,"23,26,23",16x19,"50,59",Medium-High,Medium,Medium-Fast,"23/26/23mm beam, 16x19 pattern",Standard,TWU: twistweight=13.3 vibration=139Hz power=40% sweetzone=15sqin
babolat-pure-control-95,Babolat Pure Control 95,,95,340,31.5,9 pts HL,304,56,"23,26,23",16x19,"50,59",Medium-High,Medium,Medium-Fast,"23/26/23mm beam, 16x19 pattern",Standard,TWU: twistweight=12.3 vibration=130Hz power=39% sweetzone=13sqin
babolat-pure-control-95,Babolat Pure Control 95+,,95,341,31.8,10 pts HL,320,62,"23,26,23",16x19,"50,59",Medium-High,Medium,Medium-Fast,"23/26/23mm beam, 16x19 pattern",Standard,TWU: twistweight=12.3 vibration=137Hz power=41% sweetzone=16sqin length=27.5in
babolat-pure-control-tour,Babolat Pure Control Tour,,98,334,32,7 pts HL,308,63,"23,26,23",16x19,"50,59",Medium-High,Medium,Medium-Fast,"23/26/23mm beam, 16x19 pattern",Control,TWU: twistweight=13.3 vibration=138Hz power=39% sweetzone=14sqin
babolat-pure-control-tour,Babolat Pure Control Tour+,,98,342,31.9,10 pts HL,330,60,"23,26,23",16x19,"50,59",Medium-High,Medium,Medium-Fast,"23/26/23mm beam, 16x19 pattern",Control,TWU: twistweight=13.4 vibration=126Hz power=42% sweetzone=17sqin length=27.5in
babolat-pure-drive-2012,Babolat Pure Drive (2012),2012,100,314,32.9,4 pts HL,309,73,"23,26,23",16x19,"50,59",Medium-High,Medium,Medium-Fast,"23/26/23mm beam, 16x19 pattern",Standard,TWU: twistweight=14.2 vibration=170Hz power=40% sweetzone=15sqin
babolat-pure-drive-2021,Babolat Pure Drive (2021),2021,100,318,33,4 pts HL,320,71,"23,26,23",16x19,"50,59",Medium-High,Medium,Medium-Fast,"23/26/23mm beam, 16x19 pattern",Standard,TWU: twistweight=15.6 vibration=161Hz power=41% sweetzone=17sqin
babolat-pure-drive-107,Babolat Pure Drive 107,,107,297,34.5,1 pts HH,312,70,"23,26,23",16x19,"50,59",Medium-High,Medium,Medium,"23/26/23mm beam, 16x19 pattern",Standard,TWU: twistweight=14.9 vibration=164Hz power=40% sweetzone=16sqin
babolat-pure-drive-107-2012,Babolat Pure Drive 107 (2012),2012,107,294,33.8,2 pts HL,298,69,"23,26,23",16x19,"50,59",Medium-High,Medium,Medium,"23/26/23mm beam, 16x19 pattern",Standard,TWU: twistweight=13.9 vibration=161Hz power=38% sweetzone=13sqin length=27.2in
babolat-pure-drive-107-2018,Babolat Pure Drive 107 (2018),2018,107,303,33,5 pts HL,310,69,"23,26,23",16x19,"50,59",Medium-High,Medium,Medium,"23/26/23mm beam, 16x19 pattern",Standard,TWU: twistweight=15.9 vibration=155Hz power=40% sweetzone=16sqin length=27.2in
babolat-pure-drive-107-2021,Babolat Pure Drive 107 2021,2021,107,301,33,5 pts HL,309,68,"23,26,23",16x19,"50,59",Medium-High,Medium,Medium,"23/26/23mm beam, 16x19 pattern",Standard,TWU: twistweight=15.5 vibration=152Hz power=40% sweetzone=15sqin length=27.2in
babolat-pure-drive-107-2025,Babolat Pure Drive 107 2025,2025,107,301,33,5 pts HL,307,67,"23,26,23",16x19,"50,59",Medium-High,Medium,Medium,"23/26/23mm beam, 16x19 pattern",Standard,TWU: twistweight=16.2 vibration=152Hz power=39% sweetzone=16sqin length=27.2in
babolat-pure-drive-107-gt-2009,Babolat Pure Drive 107 GT 2009,2009,107,298,33.7,3 pts HL,318,67,"23,26,23",16x19,"50,59",Medium-High,Medium,Medium,"23/26/23mm beam, 16x19 pattern",Standard,TWU: twistweight=13.5 vibration=163Hz power=39% sweetzone=14sqin length=27.2in
babolat-pure-drive-110,Babolat Pure Drive 110,,110,281,35.5,2 pts HH,315,66,"24,27,24",16x20,"48,57",High,Short,Slow,"24/27/24mm beam, 16x20 pattern",Standard,TWU: twistweight=15.4 vibration=158Hz power=40% sweetzone=16sqin length=27.5in
babolat-pure-drive-110-2018,Babolat Pure Drive 110 (2018),2018,110,272,34,3 pts HL,305,69,"24,27,24",16x20,"48,57",High,Short,Slow,"24/27/24mm beam, 16x20 pattern",Standard,TWU: twistweight=14.9 vibration=164Hz power=39% sweetzone=15sqin length=27.6in
babolat-pure-drive-110-2021,Babolat Pure Drive 110 2021,2021,110,269,34,3 pts HL,298,70,"24,27,24",16x20,"48,57",High,Short,Slow,"24/27/24mm beam, 16x20 pattern",Standard,TWU: twistweight=14.3 vibration=154Hz power=38% sweetzone=13sqin length=27.6in
babolat-pure-drive-2015,Babolat Pure Drive 2015,2015,100,322,32.4,6 pts HL,319,72,"23,26,23",16x19,"50,59",Medium-High,Medium,Medium-Fast,"23/26/23mm beam, 16x19 pattern",Standard,TWU: twistweight=14.9 vibration=163Hz power=41% sweetzone=16sqin
babolat-pure-drive-2017,Babolat Pure Drive 2017,2017,100,318,33,4 pts HL,324,71,"23,26,23",16x19,"50,59",Medium-High,Medium,Medium-Fast,"23/26/23mm beam, 16x19 pattern",Standard,TWU: twistweight=14.3 vibration=161Hz power=41% sweetzone=17sqin
babolat-pure-drive-2025,Babolat Pure Drive 2025,2025,100,318,33,4 pts HL,317,66,"23,26,23",16x19,"50,59",Medium-High,Medium,Medium-Fast,"23/26/23mm beam, 16x19 pattern",Standard,TWU: twistweight=15.7 vibration=154Hz power=40% sweetzone=16sqin
babolat-pure-drive-98-2025,Babolat Pure Drive 98 2025,2025,98,323,33.5,2 pts HL,323,67,"21,23,21",16x19,"50,59",Medium,Full,Fast,"21/23/21mm beam, 16x19 pattern",Standard,TWU: twistweight=15.4 vibration=156Hz power=41% sweetzone=17sqin
babolat-pure-drive-gt,Babolat Pure Drive GT,,100,316,32.9,4 pts HL,323,72,"23,26,23",16x19,"50,59",Medium-High,Medium,Medium-Fast,"23/26/23mm beam, 16x19 pattern",Standard,TWU: twistweight=12.8 vibration=168Hz power=40% sweetzone=15sqin
babolat-pure-drive-gt-plus,Babolat Pure Drive GT Plus,,100,324,33,6 pts HL,345,73,"23,26,23",16x19,"50,59",Medium-High,Medium,Medium-Fast,"23/26/23mm beam, 16x19 pattern",Lightweight,TWU: twistweight=13.1 vibration=164Hz power=42% sweetzone=17sqin length=27.5in
babolat-pure-drive-lite,Babolat Pure Drive Lite,,100,293,33.4,3 pts HL,297,68,"23,26,23",16x19,"50,59",Medium,Medium,Medium,"23/26/23mm beam, 16x19 pattern",Lightweight,TWU: twistweight=13.4 vibration=157Hz power=38% sweetzone=13sqin
babolat-pure-drive-lite-2018,Babolat Pure Drive Lite (2018),2018,100,286,34.1,1 pts HL,300,69,"23,26,23",16x19,"50,59",Medium,Medium,Medium,"23/26/23mm beam, 16x19 pattern",Lightweight,TWU: twistweight=13.8 vibration=166Hz power=39% sweetzone=14sqin
babolat-pure-drive-lite-2021,Babolat Pure Drive Lite 2021,2021,100,283,34,1 pts HL,299,69,"23,26,23",16x19,"50,59",Medium,Medium,Medium,"23/26/23mm beam, 16x19 pattern",Lightweight,TWU: twistweight=14.2 vibration=160Hz power=38% sweetzone=14sqin
babolat-pure-drive-lite-2025,Babolat Pure Drive Lite 2025,2025,100,283,34,1 pts HL,295,68,"23,26,23",16x19,"50,59",Medium,Medium,Medium,"23/26/23mm beam, 16x19 pattern",Lightweight,TWU: twistweight=13.7 vibration=158Hz power=38% sweetzone=13sqin
babolat-pure-drive-lite-wimbledon,Babolat Pure Drive Lite Wimbledon,,100,286,34.1,1 pts HL,300,69,"23,26,23",16x19,"50,59",Medium,Medium,Medium,"23/26/23mm beam, 16x19 pattern",Lightweight,TWU: twistweight=13.8 vibration=166Hz power=39% sweetzone=14sqin
babolat-pure-drive-plus,Babolat Pure Drive Plus,,100,317,33.1,6 pts HL,317,72,"23,26,23",16x19,"50,59",Medium-High,Medium,Medium-Fast,"23/26/23mm beam, 16x19 pattern",Lightweight,TWU: twistweight=13.9 vibration=163Hz power=41% sweetzone=16sqin length=27.5in
babolat-pure-drive-plus-2018,Babolat Pure Drive Plus (2018),2018,100,318,33,6 pts HL,325,70,"23,26,23",16x19,"50,59",Medium-High,Medium,Medium-Fast,"23/26/23mm beam, 16x19 pattern",Power,TWU: twistweight=13.7 vibration=162Hz power=42% sweetzone=16sqin length=27.5in
babolat-pure-drive-plus-2021,Babolat Pure Drive Plus 2021,2021,100,318,33,6 pts HL,324,69,"23,26,23",16x19,"50,59",Medium-High,Medium,Medium-Fast,"23/26/23mm beam, 16x19 pattern",Power,TWU: twistweight=14.2 vibration=154Hz power=41% sweetzone=16sqin length=27.5in
babolat-pure-drive-plus-2025,Babolat Pure Drive Plus 2025,2025,100,318,33,6 pts HL,325,69,"23,26,23",16x19,"50,59",Medium-High,Medium,Medium-Fast,"23/26/23mm beam, 16x19 pattern",Power,TWU: twistweight=15 vibration=153Hz power=41% sweetzone=17sqin length=27.5in
babolat-pure-drive-roddick,Babolat Pure Drive Roddick,,100,332,32.1,7 pts HL,329,71,"23,26,23",16x19,"50,59",Medium-High,Medium,Medium-Fast,"23/26/23mm beam, 16x19 pattern",Standard,TWU: twistweight=14.9 vibration=162Hz power=40% sweetzone=15sqin
babolat-pure-drive-roddick-2012,Babolat Pure Drive Roddick (2012),2012,100,336,32.5,6 pts HL,328,72,"23,26,23",16x19,"50,59",Medium-High,Medium,Medium-Fast,"23/26/23mm beam, 16x19 pattern",Standard,TWU: twistweight=15.2 vibration=163Hz power=42% sweetzone=17sqin
babolat-pure-drive-roddick-gt,Babolat Pure Drive Roddick GT,,100,331,32.5,6 pts HL,335,73,"23,26,23",16x19,"50,59",Medium-High,Medium,Medium-Fast,"23/26/23mm beam, 16x19 pattern",Standard,TWU: twistweight=14.9 vibration=170Hz power=40% sweetzone=16sqin
babolat-pure-drive-roddick-gt-plus,Babolat Pure Drive Roddick GT Plus,,100,332,32,9 pts HL,338,72,"23,26,23",16x19,"50,59",Medium-High,Medium,Medium-Fast,"23/26/23mm beam, 16x19 pattern",Lightweight,TWU: twistweight=12.2 vibration=167Hz power=41% sweetzone=16sqin length=27.5in
babolat-pure-drive-roddick-plus,Babolat Pure Drive Roddick Plus,,100,329,32.7,7 pts HL,326,70,"23,26,23",16x19,"50,59",Medium-High,Medium,Medium-Fast,"23/26/23mm beam, 16x19 pattern",Lightweight,TWU: twistweight=13.2 vibration=159Hz power=40% sweetzone=16sqin length=27.5in
babolat-pure-drive-roddick-plus-2012,Babolat Pure Drive Roddick Plus (2012),2012,100,329,33.2,5 pts HL,333,73,"23,26,23",16x19,"50,59",Medium-High,Medium,Medium-Fast,"23/26/23mm beam, 16x19 pattern",Power,TWU: twistweight=14.4 vibration=164Hz power=42% sweetzone=18sqin length=27.5in
babolat-pure-drive-team,Babolat Pure Drive Team,,100,306,33.6,2 pts HL,313,69,"23,26,23",16x19,"50,59",Medium,Medium-Full,Medium-Fast,"23/26/23mm beam, 16x19 pattern",All-Rounder,TWU: twistweight=14.9 vibration=157Hz power=40% sweetzone=16sqin
babolat-pure-drive-team-2021,Babolat Pure Drive Team 2021,2021,100,301,32.6,5 pts HL,313,69,"23,26,23",16x19,"50,59",Medium,Medium-Full,Medium-Fast,"23/26/23mm beam, 16x19 pattern",All-Rounder,TWU: twistweight=14.4 vibration=159Hz power=40% sweetzone=16sqin
